channel_id,subscribers,avg_views_sub,avg_30days_view,week_upload
UC-woZsctXZLnJOG-Tu6TZ5g,55200,0.26920410628019326,13730.4,1.61728
UC-wocImdZdGZX6jBDRMEGIA,68800,2.213653287119857,20633.3,0.490566
UC-wsfCU-ctCAjLlNguQB9kw,8300,0.29040447504302924,618.5,0.400391
UC-x3xiycloRx4QMvtqqbANw,56600,0.86662308598351,51071.5,0.163265
UC-x7-LrFWqrYss55zNjQMtA,25600,8.393852370689654,1687170,0.438554
UC-xLoAE3FXOj_tL5KFvRV-g,45000,0.577082304526749,23501.1,2.46939
UC-xcq4Aouc38EnwE_AesrmQ,305000,0.647946018735363,164472,1.86897
UC-xlubpGad4CDajsE_GwsNw,15800,0.466751808318264,6614.5,1.59848
UC-ySmwGtWX7Ae5IAdBIbxew,8260,0.4949051654560129,1092.3,0.309829
UC-yXiz_NghwJ6o1wF6kkuig,31500,3.2671884057971012,79238.7,1.78808
UC-ywC1MrAfgpDe3_vytnBqw,12000,0.6034083333333333,1848.73,0.45173
UC-yxgzS27lEhpOBbtDdP-1Q,61900,1.2335171936302793,19522,0.587678
UC-z5bjke-RAUOAhRyr83OuQ,12300,3.520701595904848,2654.67,0.5
UC-zTNxmso34vOOpyyEEgL3w,10200,0.22695611577964517,1423.5,0.260546
UC-zZQbrfmydS8gYtdFDgGdw,61600,4.401755565862708,135831,0.188324
UC-zbmvg4j6ZB_Tmxzd9fXRQ,50600,1.5560232762406676,3415,0.271605
UC-zmFMljQIV4YN5MMoz06Kw,7440,0.3880040322580645,654.5,0.358491
UC-zus8lv-4aN7VUNI4IPnew,5410,0.22925446703635244,515.333,0.33121
UC-zvFeaVe-cJYlazq80IPjg,17100,4.072538444877626,11235.5,0.435897
UC0-62YY9sIBVMdvi9qak9Mg,12400,5.061586021505376,2328,0.0215517
UC0-JeB-Qqb3u7N7A19SLwvQ,8460,0.4871394799054373,2797.15,1.09424
UC0-Rg3nQqXzB3Yr4jEbne_w,51800,1.033709781209781,53546.2,3.11719
UC0-ZCUCeCQBwKU15x0Aqk_g,76200,0.24210607294777806,5023,2.88143
UC00-uhRwgWXYQwRtjKxc-hg,10500,0.28080788177339905,2887.2,1.21486
UC001Pa0g6w6xESLY3TCl4Cw,14300,0.2603030303030303,244,1.08333
UC0044KIiWuSFSgUHpoO3fnA,9780,0.7026663520528551,1323.67,0.164557
UC00DJ04oplqj4IUUB5vSwZw,64200,1.7975663551401868,124582,0.489933
UC00cv04poeY2uZB1Axh60Zw,8420,1.1156571654790184,9351.75,0.8
UC00q8TaVA-zpv15aDv0D8KA,28700,1.2816405342624855,476.5,0.173285
